sweep,value,impl,file,I_refs,D_refs,D1_misses,LLd_misses,D1_rate,LLd_rate
assoc,16,csr,assoc_16_csr.txt,1081761589,393552777,12289154,1770865,3.1,0.4
assoc,16,pointer,assoc_16_pointer.txt,1069560902,387852914,14610201,5398776,3.8,1.4
assoc,1,csr,assoc_1_csr.txt,1081761574,393552775,16085431,1770861,4.1,0.4
assoc,1,pointer,assoc_1_pointer.txt,1069560943,387852927,18332288,5398790,4.7,1.4
assoc,2,csr,assoc_2_csr.txt,1081761575,393552774,12427350,1770870,3.2,0.4
assoc,2,pointer,assoc_2_pointer.txt,1069560890,387852909,14744637,5398792,3.8,1.4
assoc,4,csr,assoc_4_csr.txt,1081761586,393552780,12308717,1770862,3.1,0.4
assoc,4,pointer,assoc_4_pointer.txt,1069560890,387852909,14630794,5398797,3.8,1.4
assoc,8,csr,assoc_8_csr.txt,1081761606,393552785,12291556,1770864,3.1,0.4
assoc,8,pointer,assoc_8_pointer.txt,1069560925,387852921,14613391,5398786,3.8,1.4
baseline,default,csr,baseline_csr.txt,1081761544,393552763,12308717,1770862,3.1,0.4
baseline,default,pointer,baseline_pointer.txt,1069560925,387852921,14630794,5398799,3.8,1.4
line,128,csr,line_128_csr.txt,1081761615,393552789,11061968,885657,2.8,0.2
line,128,pointer,line_128_pointer.txt,1069560910,387852915,12244422,2998319,3.2,0.8
line,32,csr,line_32_csr.txt,1081761609,393552787,14812116,3541081,3.8,0.9
line,32,pointer,line_32_pointer.txt,1069561082,387852991,19081187,10158179,4.9,2.6
line,64,csr,line_64_csr.txt,1081761571,393552774,12308717,1770862,3.1,0.4
line,64,pointer,line_64_pointer.txt,1069560887,387852908,14630794,5398797,3.8,1.4
size,131072,csr,size_131072_csr.txt,1081761609,393552787,10745178,1770862,2.7,0.4
size,131072,pointer,size_131072_pointer.txt,1069560890,387852909,13427219,5398819,3.5,1.4
size,16384,csr,size_16384_csr.txt,1081761569,393552771,12631294,1770867,3.2,0.4
size,16384,pointer,size_16384_pointer.txt,1069560902,387852914,14895824,5398793,3.8,1.4
size,32768,csr,size_32768_csr.txt,1081761609,393552787,12308717,1770862,3.1,0.4
size,32768,pointer,size_32768_pointer.txt,1069560886,387852905,14630794,5398799,3.8,1.4
size,65536,csr,size_65536_csr.txt,1081761586,393552780,11766656,1770862,3.0,0.4
size,65536,pointer,size_65536_pointer.txt,1069560902,387852914,14206705,5398809,3.7,1.4
size,8192,csr,size_8192_csr.txt,1081761574,393552775,13696510,1770873,3.5,0.4
size,8192,pointer,size_8192_pointer.txt,1069560902,387852914,15930198,5398795,4.1,1.4
