graph,impl,groups,n,avg_deg,min_ms,median_ms,mean_ms,stdev_ms,visited
er_10k,pointer,size,10000,8,0.1665,0.174,0.18214285714285713,0.01407040121944611,9992
er_10k,csr,size,10000,8,0.1145,0.11699999999999999,0.12378571428571429,0.013533468214200005,9992
er_50k,pointer,size,50000,8,2.1955,2.722,2.9597857142857142,0.723339872693723,49983
er_50k,csr,size,50000,8,1.1005,1.1255000000000002,1.1322857142857143,0.030139753846120932,49983
er_100k_d8,pointer,"size,degree,structure",100000,8,6.641500000000001,7.197,7.140499999999999,0.4533218135791245,99972
er_100k_d8,csr,"size,degree,structure",100000,8,2.4065000000000003,2.4379999999999997,2.475,0.06813100126472038,99972
er_500k,pointer,size,500000,8,48.189499999999995,48.632999999999996,49.35407142857143,1.5453695736126103,499853
er_500k,csr,size,500000,8,25.8245,26.8495,27.11242857142857,1.1706884523138317,499853
er_1m,pointer,size,1000000,8,110.6815,118.1685,120.05478571428571,9.551327642694247,999654
er_1m,csr,size,1000000,8,62.9485,64.065,63.9125,0.6607342506636098,999654
er_100k_d4,pointer,degree,100000,4,2.7649999999999997,3.1315,3.105785714285714,0.2450431691802584,97929
er_100k_d4,csr,degree,100000,4,1.6684999999999999,1.7025,1.7087142857142856,0.03956940857832094,97929
er_100k_d16,pointer,degree,100000,16,15.290000000000001,15.416,15.407785714285714,0.09569781308144634,100000
er_100k_d16,csr,degree,100000,16,3.9615,5.6045,5.3309999999999995,1.4345824014906452,100000
er_100k_d32,pointer,degree,100000,32,29.6565,33.165499999999994,34.528,5.331095150154423,100000
er_100k_d32,csr,degree,100000,32,8.445,9.48,9.241357142857144,0.49887470991269584,100000
grid,pointer,structure,100489,4,1.7835,2.363,2.4916428571428573,0.5444301083308516,100489
grid,csr,structure,100489,4,0.889,1.1915,1.1664285714285714,0.14105862509710534,100489
chain,pointer,structure,100000,1,0.3825,0.40599999999999997,0.41150000000000003,0.02911471563774352,100000
chain,csr,structure,100000,1,0.7394999999999999,0.77,0.7782142857142857,0.046489118030331525,100000
star,pointer,structure,100000,mixed,0.20099999999999998,0.2105,0.22092857142857142,0.031398551680277345,100000
star,csr,structure,100000,mixed,0.49450000000000005,0.523,0.5214285714285715,0.020478502084357815,100000
